Symbol
AAK.ST
ABB.ST
ACAD.ST
ADDT-B.ST
AFRY.ST
ALFA.ST
ALIF-B.ST
ALIV-SDB.ST
ALLEI.ST
ANOD-B.ST
ASKER.ST
ASMDEE-B.ST
ASSA-B.ST
ATCO-A.ST
ATRLJ-B.ST
AXFO.ST
AZN.ST
BALD-B.ST
BETS-B.ST
BILI-A.ST
BILL.ST
BIOA-B.ST
BOL.ST
BONEX.ST
BOOZT.ST
CAMX.ST
CAST.ST
CATE.ST
CIBUS.ST
CLA-B.ST
CLAS-B.ST
DIOS.ST
DOM.ST
EKTA-B.ST
ELUX-B.ST
EMBRAC-B.ST
EOLU-B.ST
EPI-A.ST
EQT.ST
ERIC-B.ST
ESSITY-B.ST
EVO.ST
FABG.ST
GETI-B.ST
GRNG.ST
HEM.ST
HEXA-B.ST
HM-B.ST
HOLM-B.ST
HPOL-B.ST
HUFV-A.ST
HUSQ-B.ST
INDT.ST
INDU-C.ST
INVE-B.ST
IPCO.ST
JM.ST
LAGR-B.ST
LIFCO-B.ST
MCOV-B.ST
MER.ST
MIPS.ST
MTG-B.ST
MTRS.ST
MYCR.ST
NCC-B.ST
NDA-SE.ST
NEWA-B.ST
NIBE-B.ST
NP3.ST
NYF.ST
ORRON.ST
PLAZ-B.ST
PNDX-B.ST
SAAB-B.ST
SAGA-B.ST
SAMPO-SEK.ST
SAND.ST
SBB-B.ST
SCA-B.ST
SEB-A.ST
SECT-B.ST
SECU-B.ST
SHB-A.ST
SHOT.ST
SINCH.ST
SKA-B.ST
SKF-B.ST
SOBI.ST
SSAB-B.ST
SWEC-B.ST
SWED-A.ST
SYNSAM.ST
TEL2-B.ST
TELIA.ST
THULE.ST
TREL-B.ST
VBG-B.ST
VIT-B.ST
VITR.ST
VOLCAR-B.ST
VOLV-B.ST
VPLAY-B.ST
WALL-B.ST
WIHL.ST
